Code Commune;Nom Commune;Nb -25;Nb 25-64;Nb 65+;Prop -25;Prop 25-64;Prop 65+;Taux Nat 1999-2010;Taux Mort 1999-2010
12036;Brommat;141;365;187;20.3;52.7;27;7.6;9.1
12037;Broquiès;107;304;227;16.8;47.6;35.5;6.9;15.4
12038;Brousse-le-Château;23;85;47;15.1;54.7;30.2;7.4;12
12039;Brusque;38;139;128;12.4;45.7;41.9;3.8;30.7
12041;Cabanès;36;110;78;16.2;49.1;34.7;5.7;14.8
12042;Calmels-et-le-Viala;63;126;43;27.2;54.4;18.4;9.2;7.9
12043;Calmont;570;1052;379;28.5;52.6;18.9;12;12.9
12044;Camarès;231;490;255;23.7;50.2;26.1;9.8;9.9
12045;Camboulazet;125;179;61;34.4;49;16.7;15.6;10.5
12046;Camjac;113;309;134;20.3;55.7;24;8.4;8.4
12047;Campagnac;112;226;116;24.7;49.8;25.6;11.6;10.1
12048;Campouriez;74;189;121;19.3;49.2;31.5;8.9;13.3
12049;Campuac;101;219;136;22.2;48;29.8;8.3;12
12050;Canet-de-Salars;100;220;101;23.8;52.3;24;11;13.3
12051;Cantoin;54;181;90;16.5;55.7;27.8;7.1;13.4
12052;Capdenac-Gare;991;2170;1296;22.2;48.7;29.1;9.5;16.5
12053;La Capelle-Balaguier;73;136;67;26.4;49.3;24.3;12.1;12.8
12054;La Capelle-Bleys;105;189;96;26.9;48.6;24.6;10.3;9.8
12055;La Capelle-Bonance;13;57;21;14.3;62.2;23.5;5.9;18.5
12056;Baraqueville;906;1624;511;29.8;53.4;16.8;12.6;8.2
12057;Cassagnes-Bégonhès;212;465;226;23.5;51.5;25;10.4;13.6
12058;Cassuéjouls;17;70;43;13.4;53.8;32.8;6.4;12.8
12059;Castanet;136;260;142;25.4;48.3;26.3;10.1;12.7
12060;Castelmary;23;58;53;17.1;43.4;39.5;3;10.4
12061;Castelnau-de-Mandailles;128;294;120;23.6;54.2;22.1;9.2;10
12062;Castelnau-Pégayrols;74;194;61;22.5;59.1;18.4;9.6;6.3
12063;La Cavalerie;353;570;148;33;53.2;13.8;14;6.4
12064;Le Cayrol;46;128;101;16.6;46.7;36.7;4.6;17.3
12065;Centrès;103;258;185;18.9;47.3;33.9;6.8;15.5
12066;Clairvaux-d'Aveyron;309;587;256;26.9;51;22.2;10.1;16.4
12067;Le Clapier;16;41;18;21.3;54.7;24;7.9;13.1
12068;Colombiès;192;482;277;20.2;50.7;29.1;6.5;12.3
12069;Combret;75;147;86;24.5;47.7;27.9;8.7;6.6
12070;Compeyre;133;303;81;25.7;58.6;15.7;9;5.2
12071;Compolibat;108;186;104;27.1;46.8;26.1;7.7;11.8
12072;Comprégnac;61;150;21;26.4;64.5;9.1;7.4;4.9
12073;Comps-la-Grand-Ville;150;287;104;27.8;53;19.2;15.6;8.2
