Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb d'hommes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021;Nb de femmes de 15 à 64 ans par tranche d'âge 2021
02021;Archon;6;25;4;13;7;26;6;13
02022;Arcy-Sainte-Restitue;28;128;13;84;32;124;16;80
02023;Armentières-sur-Ourcq;8;31;1;21;9;38;8;22
02024;Arrancy;2;16;2;9;4;11;2;7
02025;Artemps;18;107;16;74;17;114;18;78
02027;Assis-sur-Serre;13;71;8;37;27;57;12;32
02028;Athies-sous-Laon;181;756;125;447;184;809;109;519
02029;Attilly;30;118;21;65;32;107;14;63
02030;Aubencheul-aux-Bois;26;77;18;37;21;78;13;38
02031;Aubenton;48;208;40;126;42;192;33;112
02032;Aubigny-aux-Kaisnes;20;79;12;49;18;82;10;52
02033;Aubigny-en-Laonnois;12;37;7;19;11;35;5;18
02034;Audignicourt;9;33;6;23;4;36;2;25
02035;Audigny;17;90;17;56;16;78;13;48
02036;Augy;8;23;3;13;8;21;2;12
02037;Aulnois-sous-Laon;93;410;78;249;84;410;61;256
02038;Les Autels;8;17;3;9;5;19;4;7
02039;Autremencourt;9;64;23;29;12;54;15;30
02040;Autreppes;10;49;9;33;8;57;11;37
02041;Autreville;62;230;39;144;47;241;34;145
02042;Azy-sur-Marne;34;113;23;63;27;116;19;62
02043;Bagneux;4;20;2;13;6;21;3;15
02044;Bancigny;1;6;0;5;1;5;0;4
02046;Barenton-Bugny;42;177;25;107;45;175;23;111
02047;Barenton-Cel;11;42;12;19;11;35;4;20
02048;Barenton-sur-Serre;7;38;1;29;7;44;8;28
02049;Barisis-aux-Bois;48;215;24;127;64;216;37;130
02050;Barzy-en-Thiérache;20;94;15;61;18;92;16;56
02051;Barzy-sur-Marne;27;114;21;69;24;116;14;75
