Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb d'hommes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010;Nb de femmes de 15 à 64 ans par tranche d'âge 2010
01384;Saint-Rambert-en-Bugey;637;109;411;117;635;128;401;106
01385;Saint-Rémy;291;51;181;60;290;48;185;58
01386;Saint-Sorlin-en-Bugey;357;56;237;64;338;65;218;55
01387;Saint-Sulpice;48;5;36;7;41;4;27;10
01388;Saint-Trivier-de-Courtes;278;39;162;77;269;36;157;76
01389;Saint-Trivier-sur-Moignans;623;134;376;114;559;104;353;102
01390;Saint-Vulbas;342;49;245;47;280;57;192;31
01391;Salavre;91;13;46;32;85;9;46;30
01392;Samognat;235;38;168;29;224;31;167;26
01393;Sandrans;161;20;109;32;164;22;117;25
01396;Sault-Brénaz;341;51;220;70;322;61;197;64
01397;Sauverny;368;64;220;85;370;46;243;82
01398;Savigneux;394;59;266;69;393;69;266;58
01399;Ségny;531;84;356;91;566;85;376;105
01400;Seillonnaz;48;8;29;11;38;0;28;10
01401;Sergy;627;77;444;106;672;74;488;110
01402;Sermoyer;205;29;138;37;199;26;130;43
01403;Serrières-de-Briord;354;51;237;66;341;50;231;60
01404;Serrières-sur-Ain;47;4;27;16;36;2;25;10
01405;Servas;392;63;253;76;365;58;237;70
01406;Servignat;52;10;32;10;43;2;29;12
01407;Seyssel;324;49;225;51;292;45;196;52
01408;Simandre-sur-Suran;211;31;132;49;203;38;132;34
01410;Sonthonnax-la-Montagne;110;16;76;18;105;15;67;23
01411;Souclin;82;15;52;16;75;7;50;19
01412;Sulignat;185;30;122;34;178;27;119;33
01415;Talissieu;146;16;102;28;138;13;98;27
01416;Tenay;341;55;203;83;317;65;192;61
01418;Thil;357;69;206;83;350;66;221;62
01419;Thoiry;1756;252;1217;288;1754;244;1228;282
01420;Thoissey;423;100;255;68;449;96;277;76
01421;Torcieu;242;36;153;52;232;30;154;47
01422;Tossiat;467;64;318;85;463;68;314;81
01423;Toussieux;274;51;171;52;268;58;173;38
01424;Tramoyes;563;126;341;96;579;128;355;96
01425;La Tranclière;96;14;61;21;93;14;54;25
01426;Val-Revermont;819;118;529;172;754;106;506;142
01427;Trévoux;2275;472;1443;361;2204;432;1417;355
01428;Valeins;26;2;15;9;26;3;15;8
01429;Vandeins;203;31;136;36;209;34;130;45
01430;Varambon;187;21;129;37;163;19;107;37
01431;Vaux-en-Bugey;385;62;256;67;363;50;248;64
01432;Verjon;77;7;48;22;78;5;52;21
01433;Vernoux;101;18;70;13;96;10;75;11
01434;Versailleux;99;12;66;21;104;17;64;23
01435;Versonnex;701;137;454;111;722;87;503;131
01436;Vesancy;179;21;125;33;182;23;127;32
01437;Vescours;65;5;43;17;61;6;41;14
01439;Vésines;31;2;18;11;29;4;18;7
01441;Vieu-d'Izenave;230;36;154;41;220;30;141;49
01443;Villars-les-Dombes;1428;317;863;247;1441;299;856;286
01444;Villebois;410;60;267;84;362;44;241;77
01445;Villemotier;209;26;153;30;203;34;136;33
01446;Villeneuve;458;84;302;73;433;70;306;58
01447;Villereversure;382;68;231;82;372;69;231;71
01448;Villes;133;16;99;18;124;17;89;18
01449;Villette-sur-Ain;234;32;152;51;226;39;137;51
01450;Villieu-Loyes-Mollon;1029;176;652;200;1009;163;667;179
01451;Viriat;1918;354;1168;396;1892;309;1176;406
01452;Virieu-le-Grand;376;84;231;62;358;53;237;68
01453;Arvière-en-Valromey;223;28;142;53;221;40;134;46
01454;Virignin;283;38;192;53;266;46;181;39
01456;Vongnes;23;2;11;10;22;1;12;9
01457;Vonnas;835;154;500;181;816;140;500;176
02001;Abbécourt;170;29;109;32;157;29;100;28
02002;Achery;178;26;122;30;171;24;110;37
02003;Acy;299;48;188;63;309;47;183;80
02004;Agnicourt-et-Séchelles;67;12;42;13;60;8;44;8
02005;Aguilcourt;123;20;72;31;116;15;73;28
02006;Aisonville-et-Bernoville;101;14;62;26;92;17;57;19
02007;Aizelles;39;7;27;5;37;5;24;8
02008;Aizy-Jouy;93;10;65;18;87;13;60;13
02009;Alaincourt;183;35;101;48;165;21;98;46
02010;Allemant;59;13;36;10;59;10;39;10
02011;Ambleny;376;65;216;95;379;70;221;87
02012;Ambrief;27;3;18;6;22;2;18;2
02013;Amifontaine;137;14;98;25;132;22;89;21
02014;Amigny-Rouy;246;22;157;67;232;35;144;53
02015;Ancienville;24;5;12;7;26;3;18;5
02016;Andelain;64;9;40;15;61;5;40;16
02017;Anguilcourt-le-Sart;83;8;57;19;97;20;64;14
02018;Anizy-le-Grand;750;120;457;172;771;132;480;159
02019;Annois;131;25;71;35;120;19;64;37
02020;Any-Martin-Rieux;146;20;83;43;147;25;90;32
02021;Archon;20;1;16;3;25;5;14;5
02022;Arcy-Sainte-Restitue;138;24;86;29;136;26;80;30
02023;Armentières-sur-Ourcq;37;8;24;5;32;2;24;6
02024;Arrancy;15;1;12;2;14;3;8;4
02025;Artemps;116;18;70;28;129;29;74;26
02027;Assis-sur-Serre;91;16;62;13;85;14;53;18
02028;Athies-sous-Laon;801;160;502;139;825;126;529;169
02029;Attilly;137;23;87;27;131;19;86;26
02030;Aubencheul-aux-Bois;85;17;54;15;89;8;58;23
