Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Taux de natalité annuel moyen 2015-2021;Taux de mortalité annuel moyen 2015-2021;Part des pers. âgées de - 15 ans 2021;Nb de pers. âgées de - de 25 ans 2021;Part des pers. âgées de - de 25 ans 2021;Nb de pers. âgées de 25 à 64 ans 2021;Part des pers. âgées de 25 à 64 ans 2021;Nb de pers. âgées de 65 ans ou + 2021;Part des pers. âgées de 65 ans ou + 2021;Nb de pers. âgées  de 75 ans ou plus 2021;Part des pers. âgées de 75 ans ou + 2021;Nb de pers. âgées de 80 ans ou + 2021;Part des pers. âgées de 80 ans ou + 2021
01206;Lantenay;8.1;7.5;16.8;72;26.6;145;53.8;53;19.6;17;6.4;9;3.4
01207;Lapeyrouse;11.6;1.5;21.8;98;30;187;57.3;41;12.7;21;6.4;11;3.3
01208;Lavours;5.1;16.4;14.1;31;23;63;46.7;41;30.4;19;14.1;14;10.4
01209;Léaz;13.2;3.6;26.3;278;34;447;54.7;93;11.4;44;5.4;26;3.2
01210;Lélex;8;8;12.9;51;22;134;58.1;46;19.9;25;11.1;19;8.4
01211;Lent;9.4;6.8;19.1;399;28.3;738;52.4;271;19.2;100;7.1;65;4.6
01212;Lescheroux;12.3;8.6;20.6;223;31.3;352;49.3;139;19.5;58;8.2;35;4.9
01213;Leyment;11.1;4.4;21.7;455;32.7;784;56.4;153;11;74;5.3;40;2.9
01214;Leyssard;9.5;7.4;16.8;39;24.2;91;55.9;32;19.9;11;6.8;4;2.5
01215;Surjoux-Lhopital;10.4;9.1;13;34;23.9;81;57.2;27;18.8;13;9.4;9;6.5
01216;Lhuis;6.9;21.6;13.8;212;23.8;383;43;296;33.2;132;14.8;92;10.3
01219;Lompnas;10.1;4;14.6;41;25;87;53.7;35;21.3;14;8.5;11;6.7
01224;Loyettes;12.7;5.1;23.2;1163;34.4;1736;51.3;482;14.3;187;5.5;88;2.6
01225;Lurcy;10.3;5.1;17.9;101;25.8;209;53.2;82;21;28;7.2;15;3.7
01227;Magnieu;9.1;7.3;18.4;176;26.9;348;53.1;131;20.1;46;7;26;4
01228;Maillat;8.9;4.3;19.1;198;29.2;364;53.6;116;17.1;45;6.7;25;3.7
01229;Malafretaz;12.3;6.6;18.3;364;30;603;49.7;247;20.3;112;9.2;73;6
01230;Mantenay-Montlin;9.7;8.7;17.3;81;26.4;152;49.5;74;24.1;24;7.8;16;5.1
01231;Manziat;10.2;8.6;17.8;523;26.7;1001;51.2;431;22.1;165;8.4;100;5.1
01232;Marboz;7.9;7.3;17.2;625;27.5;1074;47.3;569;25.1;234;10.3;148;6.5
01233;Marchamp;5.1;16.6;12.4;34;25.5;70;53.3;28;21.2;18;13.9;10;7.3
01234;Marignieu;5.9;13.7;9.5;37;21.9;94;56.2;37;21.9;17;10.1;10;5.9
01235;Marlieux;16;6.9;24.1;410;34.7;580;49;193;16.3;104;8.8;63;5.3
01236;Marsonnas;11.6;6.8;21.3;316;30.7;522;50.7;192;18.6;81;7.9;46;4.4
01237;Martignat;10.8;4.7;20.7;509;30.5;887;53.1;275;16.4;109;6.5;52;3.1
01238;Massieux;9.9;4.4;20.2;848;31.2;1395;51.3;479;17.6;170;6.2;93;3.4
01239;Massignieu-de-Rives;9.5;8.7;19;165;25.7;322;50.2;154;24.1;55;8.6;24;3.7
01240;Matafelon-Granges;6.5;7.8;15.8;148;23.6;368;58.5;113;18;39;6.2;14;2.2
01241;Meillonnas;8.8;6.2;17.5;347;25.1;740;53.5;296;21.4;113;8.2;66;4.7
01242;Mérignat;10.5;2.6;20;44;32.6;73;53.3;19;14.1;6;4.4;2;1.5
01243;Messimy-sur-Saône;9.8;5.1;18.5;389;30.2;659;51.2;240;18.6;89;6.9;43;3.3
01244;Meximieux;12;9;20.9;2612;32.3;4060;50.2;1413;17.5;682;8.4;452;5.6
01245;Bohas-Meyriat-Rignat;12.6;7.1;23.5;296;30.6;490;50.8;179;18.5;75;7.8;40;4.1
01246;Mézériat;11.7;6;19;644;29.4;1075;49;473;21.6;199;9.1;120;5.5
01247;Mijoux;13;6.8;18.2;80;26.9;172;57.9;45;15.2;15;5.1;7;2.4
01248;Mionnay;8.9;3.4;18.2;651;29.2;1261;56.6;315;14.2;115;5.2;54;2.4
01249;Miribel;12.9;8.2;21.9;3252;31.8;5302;51.9;1671;16.3;805;7.9;516;5
01250;Misérieux;8.8;3.4;21.3;716;35.9;967;48.5;311;15.6;124;6.2;62;3.1
01252;Mogneneins;11.7;6.2;22.3;242;30.2;424;52.8;137;17;62;7.8;50;6.2
01254;Montagnat;12.1;4.2;19.9;626;29.2;1111;51.8;408;19;123;5.8;53;2.5
01255;Montagnieu;11.5;5.6;23.8;215;32.3;334;50.1;117;17.6;52;7.8;40;6
01257;Montanges;11.5;9.1;18.3;91;26;202;57.7;57;16.3;31;8.7;20;5.8
01258;Montceaux;7.8;4.9;20.3;354;29.6;635;53;209;17.5;60;5;37;3.1
01259;Montcet;15.1;4.6;21.5;222;31.5;393;55.8;89;12.7;34;4.8;20;2.9
01260;Le Montellier;15;5.6;25.5;108;33.7;172;54.1;39;12.2;19;6.1;11;3.5
01261;Monthieux;10.3;3.5;19.3;202;29.6;377;55.3;103;15.1;40;5.8;30;4.4
01262;Montluel;12.2;9;18.2;2108;30.8;3448;50.4;1281;18.7;635;9.3;432;6.3
01263;Montmerle-sur-Saône;9.5;9.9;18.2;1088;28.7;1853;48.9;850;22.4;404;10.7;267;7
